-0.872586	-0.685086	-0.213198	-0.025698
-0.360317	0.068254	0.644042	1.072614
-0.213442	0.215129	0.621820	1.050392
-1.078052	-0.878052	0.172219	0.372219
-1.271031	-1.071031	-0.294448	-0.094448
-0.677278	-0.302278	0.426385	0.801385
-0.365323	-0.134554	0.523501	0.754270
-0.854264	-0.581536	-0.353034	-0.080307
-1.129375	-0.898606	0.190168	0.420937
-1.031959	-0.831959	-0.358337	-0.158337
-1.276491	-0.526491	-0.638893	0.111107
0.332873	0.520373	-0.438199	-0.250699
-1.454071	-1.025499	-0.333734	0.094838
-1.238640	-0.965913	-0.372479	-0.099751
0.094370	0.522942	0.269045	0.697616
0.137022	0.367791	-0.115388	0.115381
-1.044465	-0.044465	-1.122226	-0.122226
-1.324933	0.175067	-1.238893	0.261107
-0.888638	-0.615911	-0.050256	0.222471
0.067250	0.567250	-0.750005	-0.250005
-0.565563	0.034437	-1.152779	-0.552779
-1.001493	-0.501493	-0.338892	0.161108
-0.359313	0.015687	0.468052	0.843052
-0.352282	-0.102282	-0.863891	-0.613891
-1.067115	-0.879615	0.167358	0.354858
-1.195242	-0.445242	-0.563893	0.186107
-1.266340	0.233660	-1.261116	0.238884
-0.492385	-0.159052	0.458330	0.791663
0.268811	0.468811	-0.411115	-0.211115
-0.761652	-0.386652	0.373608	0.748608
-1.176491	-0.576491	-0.530559	0.069441
-0.754731	-0.540446	0.340077	0.554362
-1.036292	-0.763565	-0.394701	-0.121974
-0.373375	0.626625	0.161107	1.161107
-0.428063	0.321937	0.452773	1.202773
-0.684312	0.065688	0.266663	1.016663
0.057094	0.432094	-0.754171	-0.379171
-0.201500	-0.001500	-0.991668	-0.791668
0.142248	0.742248	-0.644449	-0.044449
-0.639780	-0.139780	-0.872226	-0.372226
-0.339783	1.160217	-0.958337	0.541663
0.339122	0.589122	-0.472226	-0.222226
0.101624	0.601624	-0.316670	0.183330
-1.118008	-0.903722	0.215076	0.429362
-1.037431	-0.437431	-0.144448	0.455552
-0.414000	0.086000	-1.283334	-0.783334
-0.284313	-0.084313	-0.763892	-0.563892
0.203186	0.503186	-0.536115	-0.236115
-0.369114	-0.096387	-0.903033	-0.630305
-0.808527	-0.308527	-0.886115	-0.386115
-0.309573	0.023760	-1.052779	-0.719446
-0.993682	-0.393682	0.066664	0.666664
-0.820355	-0.606070	0.201187	0.415473
-0.332752	1.167248	-1.102782	0.397218
-0.125719	0.061781	0.609024	0.796524
-1.021809	-0.021809	0.124996	1.124996
0.008897	0.239666	-0.707055	-0.476286
-0.846286	-0.512953	-0.611116	-0.277782
0.146937	0.521937	0.387497	0.762497
-0.742904	-0.142904	0.266664	0.866664
-1.235087	-0.235087	-0.252781	0.747219
-1.523149	-1.292380	-0.243166	-0.012397
0.152761	0.425489	-0.744701	-0.471973
0.302404	0.502404	0.227775	0.427775
-1.256965	-0.956965	0.113886	0.413886
-0.685871	-0.485871	-0.544449	-0.344449
-0.978835	-0.778835	-0.361115	-0.161115
-1.034306	-0.434306	-0.105559	0.494441
-1.409308	-0.809308	-0.066670	0.533330
-1.613991	-0.113991	-1.000004	0.499996
-1.049148	-0.674148	0.037497	0.412497
-0.725718	0.024282	-1.038892	-0.288892
-1.324376	-0.895804	0.032933	0.461505
-0.751497	-0.251497	0.272219	0.772219
-0.495249	-0.245249	0.530552	0.780552
-0.924938	0.575062	-0.100004	1.399996
-1.415562	-0.915562	-0.480559	0.019441
-0.634309	-0.446809	0.439581	0.627081
-0.370251	-0.070251	0.580551	0.880551
-0.654621	-0.454621	-0.658337	-0.458337
-0.245511	0.087823	-0.997224	-0.663891
-0.444468	-0.244468	0.544441	0.744441
-0.790668	-0.576383	0.248410	0.462695
-0.406188	0.343812	-1.069447	-0.319447
-0.988322	-0.774036	0.153965	0.368251
-0.849931	-0.649931	-0.138892	0.061108
-0.763219	0.236781	-1.150003	-0.150003
-0.906962	-0.606962	-0.227781	0.072219
-0.416770	-0.144043	0.494188	0.766916
-1.593923	-1.165352	-0.197623	0.230949
0.177405	0.552405	-0.306948	0.068052
-0.945353	-0.731068	-0.318258	-0.103972
0.060218	0.560218	-0.697227	-0.197227
-0.580163	-0.349394	0.506834	0.737603
-0.776606	-0.562320	0.215076	0.429362
-0.648372	-0.398372	0.491663	0.741663
-0.845003	-0.614234	0.076279	0.307048
0.229749	0.429749	0.422219	0.622220
-1.243677	-0.743677	0.044441	0.544441
-1.052274	-0.452274	-0.380559	0.219441
